Trip_count,Weekday,Precipitation,Temp,Gust_speed
16009,0,0,48,15
8921,1,1,41,17
14198,1,1,43,21
34039,1,0,52,23.9
28393,1,0,34,17
24177,1,0,33,10.1
4425,0,1,26,17
6417,0,0,25,18.1
15856,1,0,23,13
23232,1,0,46,14.1
32419,1,1,52,16.1
39783,1,0,66,16.1
33611,1,0,62,17
13819,0,0,34,8.9
17384,0,0,38,10.1
24110,1,0,43,13
18646,1,1,42,15
30857,1,0,41,14.1
36561,1,0,49,12.1
26752,1,0,45,10.1
26610,0,0,49,12.1
20523,0,0,48,21
15822,1,1,44,33.1
13171,1,1,38,23.9
36931,1,0,51,18.1
33002,1,0,56,21
32394,1,0,43,18.1
21302,0,0,39,16.1
22527,0,0,43,15
29616,1,0,37,15
25169,1,0,34,12.1
35221,1,0,47,16.1
34517,1,0,45,16.1
29632,1,0,33,17
19204,0,0,34,16.1
20059,0,0,43,16.1
33415,1,0,49,13
23053,1,1,42,15
40428,1,0,62,13
1997,1,0,32,16.1
8959,0,0,48,13
5801,0,1,40,17
23857,1,0,39,28
29668,1,0,41,13
32052,1,0,47,18.1
29120,1,0,35,17
28735,1,0,41,16.1
30571,0,0,63,16.1
36963,0,0,65,14.1
32292,1,0,55,18.1
32643,1,0,47,14.1
38119,1,0,57,12.1
42434,1,0,65,13
47031,1,0,70,14.1
33343,0,1,63,19.9
24714,0,0,44,18.1
35984,1,0,54,16.1
41835,1,0,59,10.1
40592,1,0,70,16.1
35739,1,0,64,25.9
31105,1,0,39,18.1
15646,0,0,30,19.9
15919,0,0,37,14.1
32467,1,0,45,10.1
29683,1,0,56,13
43469,1,0,59,17
45252,1,0,61,23
18412,1,1,47,19.9
15185,0,0,29,18.1
13442,0,0,29,17
27417,1,0,36,14.1
7098,1,0,47,15
4106,0,0,39,19.9
10550,0,0,47,18.1
27378,1,0,52,14.1
36824,1,0,59,13
26927,1,0,50,23.9
29885,1,0,42,13
34018,1,0,57,15
29646,0,0,62,16.1
19893,0,0,42,18.1
26301,1,1,53,12.1
21589,1,1,46,14.1
42430,1,0,60,18.1
39746,1,0,52,15
6946,1,1,43,25.9
23849,0,0,48,25.9
39780,0,0,63,14.1
43485,1,0,63,18.1
29991,1,1,51,18.1
47636,1,0,65,14.1
18020,1,1,53,21.9
35779,1,0,51,17
35936,0,0,57,17
43896,0,0,67,13
50424,1,0,74,13
57310,1,0,80,14.1
51188,1,0,76,10.1
52915,1,0,65,14.1
52232,1,0,66,10.1
42531,0,0,65,12.1
48140,0,0,87,21
53247,1,0,74,14.1
53809,1,0,65,15
45787,1,0,54,16.1
44264,1,0,66,13
39868,1,1,53,14.1
34596,0,0,57,10.1
49107,0,0,66,12.1
48692,1,0,60,10.1
20332,1,1,54,25.1
37727,1,1,60,18.1
52035,1,0,70,16.1
62199,1,0,85,12.1
57701,0,0,85,23
42928,0,0,67,14.1
56218,1,0,74,12.1
61207,1,0,75,19.9
59252,1,0,65,18.1
57429,1,0,64,13
24009,1,1,59,16.1
46618,0,0,67,15
34293,0,0,56,14.1
51553,1,0,57,15
56461,1,0,63,12.1
58454,1,0,63,6.9
57208,1,0,62,6.9
56675,1,0,65,12.1
5704,0,1,53,18.1
38729,0,0,67,15
54715,1,0,68,18.1
64504,1,0,79,12.1
65794,1,0,90,12.1
63753,1,0,92,14.1
62143,1,0,91,16.1
47859,0,0,65,16.1
54874,0,0,69,12.1
24627,1,1,61,10.1
60032,1,0,69,10.1
60622,1,0,69,14.1
17495,1,1,59,16.1
53768,1,0,73,16.1
46534,0,0,71,8.1
46727,0,0,71,12.1
26322,1,0,61,12.1
50194,1,0,60,12.1
59495,1,0,75,12.1
67403,1,0,79,13
66907,1,0,76,16.1
56264,0,0,73,13
40138,0,0,70,8.1
55883,1,0,67,16.1
41268,1,0,58,13
64453,1,0,67,12.1
62653,1,0,69,8.9
66506,1,0,80,13
57087,0,0,85,14.1
51427,0,0,90,14.1
57871,1,0,93,12.1
60921,1,0,94,10.1
60513,1,1,84,13
64763,1,0,76,12.1
56403,1,0,68,10.1
34900,0,1,74,6.9
49472,0,0,85,10.1
38310,1,1,88,13
64673,1,0,83,15
67218,1,0,83,13
66308,1,0,83,8.1
55323,1,0,83,15
52153,0,1,84,17
54655,0,0,83,12.1
62669,1,0,79,12.1
64767,1,0,77,12.1
67752,1,0,78,15
64272,1,0,82,12.1
58662,1,0,88,13
36737,0,1,85,14.1
43036,0,0,87,12.1
48193,1,1,88,16.1
49924,1,0,85,8.1
60321,1,0,85,12.1
62147,1,0,77,10.1
44068,1,1,80,14.1
55015,0,0,84,16.1
57118,0,0,81,12.1
60907,1,0,84,10.1
61671,1,0,85,13
61786,1,0,88,16.1
56475,1,0,90,14.1
31851,1,1,73,13
56499,0,0,84,12.1
56833,0,0,87,8.9
62555,1,0,85,12.1
66234,1,0,88,10.1
63915,1,0,92,12.1
59663,1,0,94,12.1
60072,1,0,92,10.1
48011,0,1,92,8.1
46942,0,0,79,10.1
43792,1,1,73,15
65336,1,0,71,10.1
70323,1,0,77,8.9
65769,1,0,78,8.9
63899,1,0,85,12.1
52947,0,0,77,17
59342,0,0,82,12.1
64218,1,0,88,8.9
66677,1,0,92,8.1
56184,1,0,86,12.1
66149,1,0,87,8.9
56394,1,0,84,13
58971,0,1,78,14.1
56476,0,0,76,10.1
23395,1,1,71,8.9
65233,1,0,78,8.9
67884,1,0,85,8.1
66249,1,0,83,8.9
63140,1,0,82,12.1
60540,0,0,77,8.9
57518,0,0,83,10.1
61482,1,0,80,8.9
52461,1,1,74,8.1
68436,1,0,87,10.1
66656,1,0,83,10.1
36620,1,1,82,10.1
62442,0,0,86,12.1
55442,0,0,81,10.1
61059,1,0,87,12.1
60541,1,1,89,14.1
65070,1,0,81,10.1
66307,1,0,80,10.1
64217,1,0,78,8.9
50109,0,0,78,8.9
54598,0,0,78,13
60886,1,0,76,16.1
35152,1,1,68,16.1
65329,1,0,78,13
64881,1,0,81,14.1
54881,1,0,71,10.1
37812,0,1,68,10.1
30955,0,1,69,12.1
55285,1,0,80,12.1
65445,1,0,85,15
42295,1,1,72,14.1
69519,1,0,71,14.1
69574,1,0,71,13
60155,0,0,70,12.1
60711,0,0,72,15
71917,1,0,76,8.9
74580,1,0,78,8.1
69566,1,0,83,8.9
72071,1,0,81,10.1
72297,1,0,81,8.1
61036,0,0,82,8.9
59967,0,0,81,8.1
64130,1,0,73,13
57910,1,1,78,21
71150,1,0,79,15
67742,1,0,80,13
70127,1,0,82,14.1
62687,0,0,87,12.1
57458,0,0,91,8.9
69200,1,0,88,8.9
71518,1,0,84,8.1
69897,1,0,87,12.1
70883,1,0,79,15
67177,1,0,68,8.9
50153,0,0,66,17
55505,0,0,68,10.1
65511,1,0,73,8.1
69105,1,0,71,8.9
71454,1,0,75,14.1
70174,1,0,83,14.1
70257,1,0,82,10.1
63635,0,0,81,10.1
41044,0,1,77,12.1
38391,1,1,77,12.1
74118,1,0,81,8.9
63589,1,0,77,14.1
61248,1,0,64,18.1
67020,1,0,67,12.1
58777,0,0,72,8.1
56529,0,0,74,15
61730,1,0,69,13
64480,1,0,58,10.1
70234,1,0,72,10.1
72311,1,0,71,13
72173,1,0,73,12.1
65874,0,0,78,8.1
62150,0,0,76,8.1
69274,1,0,74,8.1
48077,1,0,74,16.1
71287,1,0,67,8.9
64003,1,0,58,13
69268,1,0,62,10.1
61348,0,0,69,12.1
9537,0,1,67,18.1
49247,1,1,61,19.9
60242,1,0,57,17
60773,1,0,59,10.1
70810,1,0,72,8.9
71818,1,0,74,15
53435,0,0,56,13
34943,0,0,61,12.1
57606,1,0,66,13
36362,1,1,49,13
54211,1,0,49,14.1
58417,1,0,55,10.1
38432,1,0,51,18.1
28142,0,0,38,13
32471,0,0,46,10.1
38753,1,0,47,12.1
52279,1,0,48,12.1
54230,1,0,51,10.1
49737,1,0,57,15
48991,1,0,47,12.1
27745,0,0,56,8.1
31598,0,1,59,19.9
45121,1,0,47,16.1
52451,1,0,58,14.1
32298,1,1,56,17
13705,1,0,43,8.9
23724,1,0,50,8.9
30518,0,0,57,8.9
27181,0,0,51,17
46733,1,0,51,14.1
51170,1,0,54,13
55295,1,0,63,15
51700,1,0,53,14.1
50708,1,0,52,12.1
38923,0,0,48,12.1
33728,0,0,48,8.9
49630,1,0,51,10.1
41792,1,1,61,14.1
46335,1,0,59,16.1
45367,1,0,44,17
41330,1,0,39,12.1
10804,0,1,35,10.1
19815,0,0,39,15
41838,1,0,41,13
42620,1,0,50,17
32623,1,0,31,21.9
27495,1,0,32,16.1
22944,1,0,28,12.1
19060,0,0,39,17
22403,0,0,38,8.9
40168,1,0,47,13
49503,1,0,55,16.1
41463,1,0,51,16.1
37592,1,0,39,10.1
34341,1,0,50,10.1
9608,0,1,48,13
13216,0,0,41,15
6479,1,1,38,23.9
14113,1,0,28,18.1
16365,1,0,24,14.1
13420,1,0,18,17
13759,1,0,22,13
5956,0,0,23,14.1
6569,0,0,21,17
5500,1,0,19,15
18818,1,0,26,16.1
24299,1,0,30,14.1
1922,1,1,29,23.9
4972,1,0,19,21
4295,0,0,13,19.9
5640,0,0,18,16.1
15821,1,0,31,15
25091,1,0,44,15
28252,1,0,43,10.1
33961,1,0,53,12.1
22254,1,1,61,14.1
17760,0,0,58,18.1
