"DateTime","7-day moving average","Number of flights"
"2020-01-06",109411,114634
"2020-01-07",110699,113120
"2020-01-08",112784,111921
"2020-01-09",113028,115315
"2020-01-10",113094,117523
"2020-01-11",112128,101804
"2020-01-12",111337,105043
"2020-01-13",111079,112827
"2020-01-14",110793,111118
"2020-01-15",111014,113468
"2020-01-16",111126,116101
"2020-01-17",111218,118166
"2020-01-18",111329,102580
"2020-01-19",111249,104487
"2020-01-20",111451,114237
"2020-01-21",111866,114029
"2020-01-22",111905,113739
"2020-01-23",111988,116682
"2020-01-24",111692,116092
"2020-01-25",111474,101054
"2020-01-26",111437,104232
"2020-01-27",111052,111541
"2020-01-28",110365,109218
"2020-01-29",109742,109380
"2020-01-30",109033,111720
"2020-01-31",108538,112625
"2020-02-01",107920,96729
"2020-02-02",106937,97348
"2020-02-03",106023,105145
"2020-02-04",105043,102355
"2020-02-05",104168,103257
"2020-02-06",103129,104450
"2020-02-07",102282,106693
"2020-02-08",102029,94955
"2020-02-09",101403,92966
"2020-02-10",100733,100456
"2020-02-11",100466,100490
"2020-02-12",100332,102317
"2020-02-13",100395,104892
"2020-02-14",100782,109400
"2020-02-15",100772,94885
"2020-02-16",100926,94042
"2020-02-17",101059,101389
"2020-02-18",101298,102167
"2020-02-19",101705,105160
"2020-02-20",101882,106132
"2020-02-21",101872,109334
"2020-02-22",102030,95989
"2020-02-23",102449,96973
"2020-02-24",102687,103057
"2020-02-25",102799,102950
"2020-02-26",102774,104989
"2020-02-27",102910,107084
"2020-02-28",102967,109732
"2020-02-29",102957,95917
"2020-03-01",103397,100050
"2020-03-02",103761,105611
"2020-03-03",104001,104630
"2020-03-04",104064,105430
"2020-03-05",104161,107758
"2020-03-06",104086,109212
"2020-03-07",103987,95221
"2020-03-08",103818,98866
"2020-03-09",103299,101977
"2020-03-10",102651,100099
"2020-03-11",102116,101682
"2020-03-12",101297,102027
"2020-03-13",100363,102669
"2020-03-14",99517,89302
"2020-03-15",98288,90265
"2020-03-16",96839,91831
"2020-03-17",94822,85979
"2020-03-18",91911,81309
"2020-03-19",88365,77201
"2020-03-20",84416,75025
"2020-03-21",80479,61749
"2020-03-22",75708,56862
"2020-03-23",70288,53897
"2020-03-24",65538,52726
"2020-03-25",60743,47745
"2020-03-26",56296,46069
"2020-03-27",51832,43778
"2020-03-28",48224,36491
"2020-03-29",45042,34594
"2020-03-30",42447,35726
"2020-03-31",40332,37925
"2020-04-01",38848,37353
"2020-04-02",37193,34487
"2020-04-03",35892,34674
"2020-04-04",34566,27206
