Date,Precipitation,Snow.depth,Snowfall,Max.temp,Min.temp,Avg.wind.speed,Gust.speed
2000-01-01,0.00,0.0,0.0,50,34,5.8,16.1
2000-01-02,0.00,0.0,0.0,60,43,4.7,16.1
2000-01-03,0.00,0.0,0.0,64,51,6.7,15.0
2000-01-04,0.70,0.0,0.0,60,46,7.8,15.0
2000-01-05,0.00,0.0,0.0,47,29,11.4,23.9
2000-01-06,0.00,0.0,0.0,42,28,6.7,15.0
2000-01-07,0.00,0.0,0.0,49,35,9.4,23.0
2000-01-08,0.00,0.0,0.0,38,30,7.8,16.1
2000-01-09,0.02,0.0,0.0,51,37,5.8,14.1
2000-01-10,0.84,0.0,0.0,58,44,9.2,21.0
2000-01-11,0.00,0.0,0.0,52,40,11.0,25.1
2000-01-12,0.00,0.0,0.0,47,39,8.7,21.0
2000-01-13,0.05,0.0,0.0,39,18,11.4,23.0
2000-01-14,0.00,0.0,0.0,22,13,16.1,28.0
2000-01-15,0.00,0.0,0.0,30,17,6.9,17.9
2000-01-16,0.00,0.0,0.0,46,21,11.6,28.0
2000-01-17,0.00,0.0,0.0,21,7,14.1,30.0
2000-01-18,0.00,0.0,0.0,19,3,7.4,16.1
2000-01-19,0.00,0.0,0.0,29,10,6.5,14.1
2000-01-20,0.12,0.0,2.5,28,23,9.2,19.9
2000-01-21,0.00,2.0,0.0,23,10,15.2,28.0
2000-01-22,0.00,0.0,0.0,20,8,11.2,23.9
2000-01-23,0.00,0.0,0.0,27,18,4.7,15.0
2000-01-24,0.00,0.0,0.0,38,26,4.9,21.0
2000-01-25,0.73,2.0,5.5,30,25,14.5,21.9
2000-01-26,0.02,5.0,0.0,31,22,10.3,21.9
2000-01-27,0.00,0.0,0.0,22,12,13.2,21.9
2000-01-28,0.00,0.0,0.0,22,9,12.8,21.0
2000-01-29,0.00,0.0,0.0,35,17,6.7,15.0
2000-01-30,0.39,0.0,1.5,36,21,4.5,17.0
2000-01-31,0.36,0.0,0.0,38,29,8.9,19.9
2000-02-01,0.00,0.0,0.0,35,26,10.7,17.9
2000-02-02,0.00,0.0,0.0,29,21,12.3,25.1
2000-02-03,0.10,0.0,2.2,33,21,6.3,16.1
2000-02-04,0.00,NA,0.0,32,27,4.5,14.1
2000-02-05,0.00,NA,0.0,36,26,8.5,17.0
2000-02-06,0.00,NA,0.0,37,28,9.4,17.9
2000-02-07,0.00,NA,0.0,43,28,11.4,19.9
2000-02-08,0.00,NA,0.0,31,19,7.2,15.0
2000-02-09,0.00,NA,0.0,45,26,8.3,17.9
2000-02-10,0.00,NA,0.0,48,37,6.5,15.0
2000-02-11,0.00,0.0,0.0,51,29,8.1,23.0
2000-02-12,0.00,0.0,0.0,33,23,7.6,17.9
